case_id,transaction_id,customer_id,verdict,case_note
CASE6278,TXN101278,CUST1155,Legitimate,"Customer Aryan Mehta made a transaction of ₹3331.26 at Local Kirana Store in Delhi, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5785,TXN100785,CUST1173,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6818,TXN101818,CUST1110,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE6198,TXN101198,CUST1258,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5807,TXN100807,CUST1273,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5712,TXN100712,CUST1163,Legitimate,Routine purchase at Swiggy; amount and location consistent with customer behavior. No further action needed.
CASE6990,TXN101990,CUST1182,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6659,TXN101659,CUST1251,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6190,TXN101190,CUST1051,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6225,TXN101225,CUST1221,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5602,TXN100602,CUST1040,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE5270,TXN100270,CUST1261,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6384,TXN101384,CUST1144,Legitimate,"Customer Riya Rao made a transaction of ₹5011.35 at IRCTC in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5231,TXN100231,CUST1076,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5049,TXN100049,CUST1039,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5462,TXN100462,CUST1023,Legitimate,Routine purchase at Electricity Board; amount and location consistent with customer behavior. No further action needed.
CASE6105,TXN101105,CUST1039,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5855,TXN100855,CUST1272,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5693,TXN100693,CUST1036,Legitimate,"Customer Vihaan Iyer made a transaction of ₹892.69 at Local Kirana Store in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6551,TXN101551,CUST1287,Fraud Confirmed,"Customer's card was used for a transaction at Foreign Exchange Kiosk, a merchant category associated with prior fraud cases. Amount was significantly above customer's typical transaction size. Confirmed fraudulent after review."
CASE6872,TXN101872,CUST1097,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE5526,TXN100526,CUST1002,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE5173,TXN100173,CUST1095,Legitimate,"Customer Rohan Rao made a transaction of ₹301.52 at BigBasket in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5720,TXN100720,CUST1164,Legitimate,"Customer Rohan Gupta made a transaction of ₹1358.53 at Myntra in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5414,TXN100414,CUST1075,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5237,TXN100237,CUST1117,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6472,TXN101472,CUST1011,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE6335,TXN101335,CUST1063,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE6063,TXN101063,CUST1292,Legitimate,"Customer Vihaan Reddy made a transaction of ₹5170.92 at Uber in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5023,TXN100023,CUST1266,Legitimate,"Customer Vivaan Kumar made a transaction of ₹4979.8 at IRCTC in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6766,TXN101766,CUST1227,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5063,TXN100063,CUST1292,Legitimate,"Customer Vihaan Reddy made a transaction of ₹4891.68 at Amazon in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5289,TXN100289,CUST1027,Legitimate,Routine purchase at IRCTC; amount and location consistent with customer behavior. No further action needed.
CASE5188,TXN100188,CUST1266,Legitimate,"Customer Vivaan Kumar made a transaction of ₹3599.3 at Flipkart in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5701,TXN100701,CUST1130,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6814,TXN101814,CUST1151,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6137,TXN101137,CUST1287,Fraud Confirmed,"Multiple high-value transactions from Delhi within a short window, inconsistent with customer's usual spending pattern in Delhi. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE5354,TXN100354,CUST1258,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5416,TXN100416,CUST1266,Legitimate,"Customer Vivaan Kumar made a transaction of ₹3988.97 at Uber in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6245,TXN101245,CUST1051,Fraud Confirmed,Customer Ananya Verma reported an unrecognized transaction of ₹3748.18 at Crypto Exchange XYZ. Device used did not match customer's registered devices. Investigation confirmed unauthorized access; account was temporarily frozen and funds reversed.
CASE5930,TXN100930,CUST1248,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5196,TXN100196,CUST1178,Legitimate,"Customer Ishaan Rao made a transaction of ₹3033.85 at Zomato in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5579,TXN100579,CUST1293,Legitimate,"Customer Anika Chatterjee made a transaction of ₹1411.6 at Uber in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6134,TXN101134,CUST1285,Legitimate,"Customer Neha Chatterjee made a transaction of ₹2134.34 at Ola in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6813,TXN101813,CUST1248,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6934,TXN101934,CUST1043,Legitimate,"Customer Ananya Sharma made a transaction of ₹5491.26 at IRCTC in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5433,TXN100433,CUST1083,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5100,TXN100100,CUST1097,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE6654,TXN101654,CUST1072,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5394,TXN100394,CUST1211,Legitimate,"Customer Ishaan Nair made a transaction of ₹3333.32 at PayU Recharge in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6938,TXN101938,CUST1154,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5220,TXN100220,CUST1288,Legitimate,"Customer Ishaan Patel made a transaction of ₹1136.6 at Uber in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6675,TXN101675,CUST1148,Legitimate,Routine purchase at Ola; amount and location consistent with customer behavior. No further action needed.
CASE6497,TXN101497,CUST1157,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE6784,TXN101784,CUST1283,Legitimate,Routine purchase at Amazon; amount and location consistent with customer behavior. No further action needed.
CASE5344,TXN100344,CUST1039,Legitimate,"Customer Karan Chatterjee made a transaction of ₹2035.62 at Swiggy in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6027,TXN101027,CUST1153,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5888,TXN100888,CUST1205,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE6350,TXN101350,CUST1055,Legitimate,"Customer Karan Reddy made a transaction of ₹2445.91 at Flipkart in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5552,TXN100552,CUST1290,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5743,TXN100743,CUST1140,Legitimate,"Customer Ananya Gupta made a transaction of ₹2742.41 at Cash Withdrawal ATM in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6541,TXN101541,CUST1184,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5538,TXN100538,CUST1109,Legitimate,Routine purchase at Local Kirana Store; amount and location consistent with customer behavior. No further action needed.
CASE5906,TXN100906,CUST1192,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6394,TXN101394,CUST1195,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5115,TXN100115,CUST1231,Legitimate,"Customer Ishaan Nair made a transaction of ₹5293.16 at Myntra in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5829,TXN100829,CUST1096,Legitimate,"Customer Aarav Kumar made a transaction of ₹2150.92 at BigBasket in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6937,TXN101937,CUST1051,Legitimate,"Customer Ananya Verma made a transaction of ₹311.65 at Ola in Chennai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5808,TXN100808,CUST1239,Legitimate,"Customer Sai Chatterjee made a transaction of ₹5116.79 at PayU Recharge in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6310,TXN101310,CUST1108,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
